match_id,wc_year,match_date,stage,team,opponent,home_away,scorer,goal_minute_raw,goal_minute_numeric,is_stoppage_time,goal_order_for_team
2006-0116,2006,2006-06-14,Group stage,Tunisia,Saudi Arabia,Home,Ziad Jaziri,23,23,False,1
2006-0116,2006,2006-06-14,Group stage,Tunisia,Saudi Arabia,Home,Radhi Jaïdi,90+2,92,True,2
2006-0116,2006,2006-06-14,Group stage,Saudi Arabia,Tunisia,Away,Yasser Al-Qahtani,57,57,False,1
2006-0116,2006,2006-06-14,Group stage,Saudi Arabia,Tunisia,Away,Sami Al-Jaber,84,84,False,2
2006-0117,2006,2006-06-14,Group stage,Germany,Poland,Home,Oliver Neuville,90+1,91,True,1
2006-0118,2006,2006-06-13,Group stage,Korea Republic,Togo,Home,Lee Chun-soo,54,54,False,1
2006-0118,2006,2006-06-13,Group stage,Korea Republic,Togo,Home,Ahn Jung-hwan,72,72,False,2
2006-0118,2006,2006-06-13,Group stage,Togo,Korea Republic,Away,Mohamed Kader,31,31,False,1
2006-0120,2006,2006-06-13,Group stage,Brazil,Croatia,Home,Kaká,44,44,False,1
2006-0121,2006,2006-06-12,Group stage,Australia,Japan,Home,Tim Cahill,84,84,False,1
2006-0121,2006,2006-06-12,Group stage,Australia,Japan,Home,Tim Cahill,89,89,False,2
2006-0121,2006,2006-06-12,Group stage,Australia,Japan,Home,John Aloisi,90+2,92,True,3
2006-0121,2006,2006-06-12,Group stage,Japan,Australia,Away,Shunsuke Nakamura,26,26,False,1
2006-0122,2006,2006-06-12,Group stage,Czech Republic,United States,Away,Jan Koller,5,5,False,1
2006-0122,2006,2006-06-12,Group stage,Czech Republic,United States,Away,Tomáš Rosický,36,36,False,2
2006-0122,2006,2006-06-12,Group stage,Czech Republic,United States,Away,Tomáš Rosický,76,76,False,3
2006-0123,2006,2006-06-12,Group stage,Italy,Ghana,Home,Andrea Pirlo,40,40,False,1
